bridge,date,value
Ronin,01/03/2022,624000000
Poly Network,10/08/2021,611000000
Poly Network,03/07/2021,4400000
BNB,07/10/2022,566000000
Wormhole,03/02/2022,326000000
Nomad,02/08/2022,190000000
Harmony,24/06/2022,100000000
Qubit,28/01/2022,80000000
Meter,05/02/2022,7700000
Thorchain,29/06/2021,140000
Thorchain,26/07/2021,5000000
Thorchain,26/07/2021,8000000
Thorchain,24/07/2021,76000
Chainswap,13/07/2021,4400000
Chainswap,02/07/2021,800000
pNetwork,19/09/2021,13000000
Anyswap,01/07/2021,8000000
Multichain,07/07/2023,130000000
Multichain,19/01/2022,3000000
BXH,30/10/2021,139000000
Cellframe Network,01/06/2023,74000
Multichain,15/02/2023,130000
Rubic,25/12/2022,1400000
pNetwork,04/11/2022,10800000
Rubic,02/11/2022,1200000
QANplatform,11/10/2022,2000000
CelerNetwork,18/08/2022,240000
Nerve,15/11/2021,537000
Allbridge,01/04/2023,573000
Mixin Network,23/09/2023,200000000
Heco Bridge,22/11/2023,99000000
Orbit Bridge,31/12/2023,81880000
Socket,16/01/2024,3300000
